,flight_nbr,flight_time,flight_lat,flight_long
51,QK764,1679254968,32.6829,-116.9803
52,AC141,1679254968,50.2683,-101.5089
53,AC1202,1679254967,29.8903,-83.6422
54,AC8812,1679254968,43.6102,-79.4801
55,AC903,1679254969,43.3651,-73.6099
56,AC8767,1679254969,46.5978,-122.1101
57,AC690,1679254968,47.5474,-52.5724
58,AC789,1679254968,41.291,-98.8265
59,AC8696,1679254970,42.7487,-75.8853
60,AC8671,1679254968,35.8274,-78.859
61,AC113,1679254968,44.8199,-84.9448
62,AC8953,1679254967,33.6496,-84.3059
63,AC305,1679254969,49.5347,-90.374
64,AC8965,1679254968,42.555,-86.7432
65,AC8567,1679254968,37.0068,-82.3596
66,AC138,1679254969,49.2088,-93.5503
67,AC8676,1679254968,43.2979,-80.9211
68,AC1253,1679254967,23.3368,-70.4541
69,AC1323,1679254970,25.8751,-75.5261
70,AC904,1679254970,36.7036,-76.4016
71,AC1236,1679254970,38.4176,-82.2057
72,AC8581,1679254968,42.5837,-82.383
73,AC8669,1679254969,44.8651,-64.2033
74,AC8855,1679254969,36.4183,-86.1028
75,AC859,1679254970,55.3141,-12.4904
76,AC8191,1679254968,49.6245,-121.3095
77,AC168,1679254968,50.0409,-95.9576
78,AC1203,1679254968,27.1348,-80.448
79,AC8836,1679254969,36.233,-78.8874
80,AC145,1679254968,46.6777,-84.9949
81,AC552,1679254969,41.9995,-120.7099
82,AC213,1679254969,50.974,-115.2069
83,AC8112,1679254968,47.6784,-83.8089
84,AC8747,1679254967,36.5011,-81.6238
85,AC935,1679254963,25.6578,-71.2422
86,AC326,1679254969,50.2679,-101.5049
87,AC336,1679254967,51.8294,-98.9014
88,AC97,1679254970,-28.4026,-51.1378
89,AC8723,1679254970,40.8472,-77.973
90,AC936,1679254968,25.7423,-100.2157
91,AC969,1679254968,31.4925,-77.8327
92,AC983,1679254968,24.1808,-78.7886
93,AC991,1679254968,41.2379,-85.3028
94,AC43,1679254968,32.931,72.9702
95,AC612,1679254969,44.0663,-70.2253
96,AC945,1679254967,24.2187,-69.9322
97,AC8751,1679254970,40.2126,-82.5804
98,AC967,1679254969,18.6992,-62.0998
99,AC8990,1679254969,42.2314,-74.6009
100,AC8733,1679254969,41.4436,-81.8044
101,AC955,1679254969,18.5189,-62.0654
102,AC9,1679254970,47.0999,-80.9574
103,N/A,1679254969,48.8818,-57.7523
104,AC949,1679254969,17.2416,-64.0584
105,AC114,1679254968,49.4434,-117.5818
106,AC1279,1679254968,21.8713,-66.0049
107,QK7121,1679254969,45.5355,-73.6388
108,AC455,1679254967,43.6816,-79.6155
109,AC8481,1679254969,45.9705,-66.1573
110,AC391,1679254968,47.0717,-69.1153
111,AC456,1679254955,43.6811,-79.6154
112,AC8908,1679254969,42.2904,-84.6524
113,AC677,1679254970,47.6259,-55.1206
114,AC977,1679254969,24.6439,-110.6645
115,AC8942,1679254968,44.4651,-73.957
116,AC306,1679254969,49.0744,-121.3949
117,AC357,1679254967,45.3206,-75.6639
118,AC354,1679254964,45.3214,-75.6677
119,QK640,1679254968,44.7701,-73.8969
120,AC63,1679254968,49.5833,-124.5065
121,AC192,1679254968,50.5169,-115.2334
122,AC1094,1679254969,32.65,-117.0741
123,AC927,1679254971,23.8659,-87.1035
124,QK9,1679254950,45.4574,-73.7456
125,AC410,1679254970,43.7513,-79.4971
126,AC1046,1679254969,49.1892,-123.2871
127,AC7083,1679254969,40.4882,-81.069
128,AC7248,1679254968,20.5215,-103.3015
129,AC8890,1679254960,29.9591,-95.3403
130,AC7921,1679254968,45.8611,-67.8544
131,AC596,1679254964,29.9882,-95.349
132,AC8992,1679254967,43.6608,-79.6861
133,AC7036,1679254970,51.105,-114.0214
134,AC265,1679254968,43.6921,-79.6381
135,AC8991,1679254940,40.7741,-73.867
136,AC1201,1679254925,25.7926,-80.2835
137,AC740,1679254969,37.619,-122.3824
138,AC8109,1679254967,45.3102,-75.6777
139,AC8121,1679254970,47.6245,-52.7393
0,AC35,1679258823,-27.122,153.1373
1,AC39,1679258824,-36.8725,175.0703
2,AC33,1679258822,-23.417,154.0302
3,AC7,1679258823,24.2478,120.2486
4,AC10,1679258823,49.3005,-86.4068
5,AC25,1679258821,31.9572,125.5642
6,AC6,1679258824,46.3717,-75.8901
7,AC81,1679258821,49.6591,-74.6041
8,AC62,1679258821,59.7788,-106.1784
9,AC881,1679258822,43.8432,-79.4132
10,AC849,1679258822,56.1487,-110.1341
11,AC885,1679258823,45.7076,-73.1285
12,AC857,1679258821,51.8508,-67.0205
13,AC851,1679258822,57.0129,-108.401
14,AC861,1679258817,67.0306,-92.0464
15,AC932,1679258823,21.3025,-87.1109
16,AC548,1679258824,40.6819,-74.1844
17,AC111,1679258823,49.1627,-122.8321
18,AC535,1679258825,33.0584,-149.9507
19,AC843,1679258825,59.9936,-40.1058
20,AC1071,1679258822,44.012,-89.9294
21,AC304,1679258824,46.0648,-74.682
22,AC970,1679258823,28.1052,-109.0262
23,AC1422,1679258824,28.6485,-93.1532
24,AC141,1679258824,51.4681,-113.2647
25,AC789,1679258824,39.1081,-107.9263
26,AC113,1679258824,47.2967,-94.7717
27,AC305,1679258824,50.0583,-101.6147
28,AC8567,1679258824,33.6393,-84.4215
29,AC138,1679258823,45.4604,-81.8591
30,AC1253,1679258821,29.1635,-74.744
31,AC1323,1679258824,32.9686,-77.8667
32,AC904,1679258824,29.6996,-79.0116
33,AC1236,1679258823,32.4106,-83.9049
34,AC859,1679258817,57.7686,-26.504
35,AC168,1679258823,46.3655,-83.5613
36,AC1203,1679258822,35.8074,-80.5334
37,AC145,1679258823,49.4793,-96.0853
38,AC552,1679258823,34.2898,-118.9256
39,AC935,1679258817,33.6187,-73.5247
40,AC326,1679258823,47.9841,-87.6174
41,AC336,1679258823,49.0163,-85.8409
42,AC97,1679258822,-23.4462,-46.5145
43,AC936,1679258823,32.2692,-92.7328
44,AC8235,1679258823,46.0697,-80.3804
45,AC969,1679258823,39.8045,-78.3151
46,AC983,1679258822,33.1189,-78.0952
47,AC991,1679258824,36.8874,-92.5807
48,AC43,1679258822,38.5421,68.8483
49,AC945,1679258821,32.2649,-71.4623
50,AC967,1679258817,26.0294,-64.7121
51,AC955,1679258825,25.2126,-64.2558
52,AC9,1679258821,55.1045,-85.2727
53,AC949,1679258821,24.2424,-66.642
54,AC1209,1679258823,27.5368,-78.6007
55,AC114,1679258823,49.6,-103.63
56,AC1279,1679258817,28.846,-67.664
57,AC458,1679258822,43.535,-79.4256
58,AC8481,1679258822,44.9669,-76.2737
59,AC391,1679258823,49.9753,-79.8809
60,AC456,1679258819,45.3205,-75.6697
61,AC677,1679258821,47.137,-64.5448
62,AC977,1679258823,31.9322,-110.9223
63,AC306,1679258822,49.5733,-107.8414
64,AC357,1679258824,46.03,-78.7082
65,AC63,1679258825,50.723,-137.8226
66,AC192,1679258823,50.3134,-101.9935
67,AC1094,1679258822,36.2174,-107.5706
68,AC927,1679258824,33.0958,-82.4021
69,AC1046,1679258824,42.2807,-120.8627
70,AC7083,1679258823,38.987,-89.5428
71,AC7248,1679258824,24.5761,-98.3652
72,AC8890,1679258821,35.4057,-88.7353
73,AC7921,1679258823,45.4597,-73.7452
74,AC596,1679258823,32.5373,-93.1817
75,AC8992,1679258822,40.7761,-73.8767
76,AC7036,1679258824,44.3926,-117.1489
77,AC265,1679258823,47.6198,-87.5556
78,AC8991,1679258822,44.5041,-77.6538
79,AC1201,1679258822,32.3576,-81.2179
80,AC740,1679258821,38.8741,-115.9584
81,AC8109,1679258823,47.4459,-84.9176
82,AC8121,1679258822,47.0143,-58.4776
83,AC7969,1679258822,43.828,-77.8789
84,AC1333,1679258823,23.236,-71.5671
85,QK7693,1679258821,45.9797,-68.7378
86,AC417,1679258821,44.3008,-78.1977
87,AC938,1679258823,42.0187,-74.0921
88,AC8711,1679258822,42.9503,-109.3098
89,AC553,1679258824,36.751,-120.9073
90,AC908,1679258823,42.1523,-73.8141
91,QK93,1679258824,46.1068,-67.5525
92,AC8639,1679258821,44.035,-73.4454
93,QK320,1679258823,50.9908,-127.6308
94,AC8618,1679258824,40.7339,-77.9388
95,AC788,1679258823,36.1012,-115.0891
96,AC981,1679258821,25.9154,-89.423
97,AC8291,1679258823,50.6465,-126.9997
98,AC1058,1679258824,46.711,-122.0244
99,AC8459,1679258822,52.0052,-124.8912
100,AC8923,1679258822,41.4237,-80.6227
101,AC8824,1679258823,40.6279,-77.4379
102,AC776,1679258824,33.9401,-118.4019
103,AC8343,1679258823,51.1969,-123.0566
104,AC8367,1679258822,51.24,-122.612
105,AC170,1679258823,52.7757,-108.6364
106,AC667,1679258824,45.6346,-68.473
107,AC8441,1679258823,50.7124,-124.9009
